Date,Steps,Calories,Distance(meters),ActiveTime(seconds),DataSource
2025-12-16,8319,326,5919,4411,Phone
2025-12-15,1546,62,1101,843,Phone
2025-12-14,13921,562,9912,7593,Phone
2025-12-13,15738,636,11206,8584,Phone
2025-12-12,15492,626,11030,8450,Phone
2025-12-11,15951,644,11357,8700,Phone
2025-12-10,7315,295,5190,3990,Phone
2025-12-09,6368,257,4518,3473,Phone
2025-12-08,8676,350,6156,4732,Phone
2025-12-07,16146,652,11456,8806,Phone
2025-12-06,7243,292,5139,3950,Phone
2025-12-05,12108,489,8591,6604,Phone
2025-12-04,10931,441,7756,5962,Phone
2025-12-03,6800,279,4862,3794,Phone
