Date,Steps,Calories,Distance(meters),ActiveTime(seconds),DataSource
2026-01-13,8952,352,6361,4774,Phone
2026-01-12,3271,131,2329,1784,Phone
2026-01-11,4867,196,3465,2654,Phone
2026-01-10,2471,99,1759,1347,Phone
2026-01-09,4392,176,3127,2395,Phone
2026-01-08,9413,379,6702,5134,Phone
2026-01-07,4919,198,3502,2683,Phone
2026-01-06,1830,73,1303,998,Phone
2026-01-05,2142,86,1525,1168,Phone
2026-01-04,1739,70,1238,948,Phone
2026-01-03,10268,413,7311,5600,Phone
2026-01-02,10926,440,7779,5959,Phone
2026-01-01,11157,449,7944,6085,Phone
2025-12-31,8503,342,6054,4638,Phone
2025-12-30,7772,314,5534,4239,Phone
2025-12-29,8069,326,5745,4401,Phone
2025-12-28,2399,96,1708,1308,Phone
2025-12-27,1562,63,1112,852,Phone
2025-12-26,5530,223,3937,3016,Phone
2025-12-25,12818,518,9127,6991,Phone
2025-12-24,3204,129,2281,1747,Phone
2025-12-23,5859,236,4172,3195,Phone
2025-12-22,5274,213,3755,2876,Phone
2025-12-21,5279,213,3759,2879,Phone
2025-12-20,16634,672,11844,9073,Phone
2025-12-19,11772,475,8382,6421,Phone
2025-12-18,12225,494,8704,6668,Phone
2025-12-17,6402,258,4558,3492,Phone
2025-12-16,8378,338,5965,4569,Phone
2025-12-15,1546,62,1101,843,Phone
2025-12-14,13921,562,9912,7593,Phone
2025-12-13,15738,636,11206,8584,Phone
2025-12-12,15492,626,11030,8450,Phone
2025-12-11,15951,644,11357,8700,Phone
2025-12-10,7315,295,5190,3990,Phone
2025-12-09,6368,257,4518,3473,Phone
2025-12-08,8676,350,6156,4732,Phone
2025-12-07,16146,652,11456,8806,Phone
2025-12-06,7243,292,5139,3950,Phone
2025-12-05,12108,489,8591,6604,Phone
2025-12-04,10931,441,7756,5962,Phone
2025-12-03,6800,279,4862,3794,Phone
